22-06-13 01:20:19.912 - INFO: Train epoch 599: [20000/21000 (95%)] Loss: 3.7787 | MSE loss: 0.0005 | Bpp loss: 0.94 | Aux loss: 37.06
22-06-13 01:21:42.994 - INFO: Train epoch 599: [20800/21000 (99%)] Loss: 1.8420 | MSE loss: 0.0002 | Bpp loss: 0.73 | Aux loss: 33.37
22-06-13 01:22:20.126 - INFO: Test epoch 599: Average losses: Loss: 2.2757 | MSE loss: 0.0002 | Bpp loss: 0.98 | Aux loss: 33.50 | PSNR: 37.342209 | MS-SSIM: 0.993269
(invcomp1) root@marlin:/mnt/6t_hdd/Priyanka/InvCompress-main/codes# vim scrollback.txt
(invcomp1) root@marlin:/mnt/6t_hdd/Priyanka/InvCompress-main/codes# tmux capture-pane -pS -1000000 > file.out
(invcomp1) root@marlin:/mnt/6t_hdd/Priyanka/InvCompress-main/codes# cat file.out
22-06-11 09:50:36.850 - INFO: Train epoch 536: [ 1600/21000 (8%)] Loss: 2.1666 | MSE loss: 0.0002 | Bpp loss: 0.87 | Aux loss: 31.32
22-06-11 09:52:01.242 - INFO: Train epoch 536: [ 2400/21000 (11%)] Loss: 1.7451 | MSE loss: 0.0002 | Bpp loss: 0.82 | Aux loss: 32.39
22-06-11 09:53:25.458 - INFO: Train epoch 536: [ 3200/21000 (15%)] Loss: 3.5292 | MSE loss: 0.0004 | Bpp loss: 1.28 | Aux loss: 34.92
22-06-11 09:54:49.714 - INFO: Train epoch 536: [ 4000/21000 (19%)] Loss: 1.7644 | MSE loss: 0.0002 | Bpp loss: 0.78 | Aux loss: 33.77
22-06-11 09:56:13.490 - INFO: Train epoch 536: [ 4800/21000 (23%)] Loss: 1.8519 | MSE loss: 0.0002 | Bpp loss: 0.89 | Aux loss: 31.38
22-06-11 09:57:37.406 - INFO: Train epoch 536: [ 5600/21000 (27%)] Loss: 1.9315 | MSE loss: 0.0002 | Bpp loss: 0.83 | Aux loss: 32.64
22-06-11 09:59:01.413 - INFO: Train epoch 536: [ 6400/21000 (30%)] Loss: 2.0695 | MSE loss: 0.0002 | Bpp loss: 0.97 | Aux loss: 32.98
22-06-11 10:00:25.277 - INFO: Train epoch 536: [ 7200/21000 (34%)] Loss: 1.6649 | MSE loss: 0.0001 | Bpp loss: 0.79 | Aux loss: 32.63
22-06-11 10:01:49.276 - INFO: Train epoch 536: [ 8000/21000 (38%)] Loss: 2.0801 | MSE loss: 0.0002 | Bpp loss: 0.94 | Aux loss: 34.44
22-06-11 10:03:13.810 - INFO: Train epoch 536: [ 8800/21000 (42%)] Loss: 2.6376 | MSE loss: 0.0003 | Bpp loss: 1.05 | Aux loss: 34.95
22-06-11 10:04:37.922 - INFO: Train epoch 536: [ 9600/21000 (46%)] Loss: 2.1530 | MSE loss: 0.0002 | Bpp loss: 0.96 | Aux loss: 35.17
22-06-11 10:06:01.472 - INFO: Train epoch 536: [10400/21000 (50%)] Loss: 2.1783 | MSE loss: 0.0002 | Bpp loss: 0.80 | Aux loss: 29.77
22-06-11 10:07:25.574 - INFO: Train epoch 536: [11200/21000 (53%)] Loss: 2.1886 | MSE loss: 0.0002 | Bpp loss: 1.02 | Aux loss: 33.74
22-06-11 10:08:49.609 - INFO: Train epoch 536: [12000/21000 (57%)] Loss: 2.5167 | MSE loss: 0.0002 | Bpp loss: 1.06 | Aux loss: 33.45
22-06-11 10:10:14.229 - INFO: Train epoch 536: [12800/21000 (61%)] Loss: 3.8368 | MSE loss: 0.0005 | Bpp loss: 1.14 | Aux loss: 37.24
22-06-11 10:11:38.528 - INFO: Train epoch 536: [13600/21000 (65%)] Loss: 2.7058 | MSE loss: 0.0003 | Bpp loss: 1.17 | Aux loss: 31.72
22-06-11 10:13:02.618 - INFO: Train epoch 536: [14400/21000 (69%)] Loss: 2.4224 | MSE loss: 0.0002 | Bpp loss: 1.11 | Aux loss: 35.63
22-06-11 10:14:26.593 - INFO: Train epoch 536: [15200/21000 (72%)] Loss: 1.9102 | MSE loss: 0.0002 | Bpp loss: 0.79 | Aux loss: 31.42
22-06-11 10:15:50.738 - INFO: Train epoch 536: [16000/21000 (76%)] Loss: 2.9363 | MSE loss: 0.0003 | Bpp loss: 1.10 | Aux loss: 30.83
22-06-11 10:17:15.061 - INFO: Train epoch 536: [16800/21000 (80%)] Loss: 1.4553 | MSE loss: 0.0001 | Bpp loss: 0.74 | Aux loss: 35.07
22-06-11 10:18:39.299 - INFO: Train epoch 536: [17600/21000 (84%)] Loss: 1.9579 | MSE loss: 0.0002 | Bpp loss: 0.84 | Aux loss: 32.35
22-06-11 10:20:03.269 - INFO: Train epoch 536: [18400/21000 (88%)] Loss: 2.0429 | MSE loss: 0.0002 | Bpp loss: 0.84 | Aux loss: 33.61
22-06-11 10:21:27.589 - INFO: Train epoch 536: [19200/21000 (91%)] Loss: 1.4713 | MSE loss: 0.0001 | Bpp loss: 0.76 | Aux loss: 33.89
22-06-11 10:22:51.458 - INFO: Train epoch 536: [20000/21000 (95%)] Loss: 2.2353 | MSE loss: 0.0002 | Bpp loss: 0.95 | Aux loss: 33.00
22-06-11 10:24:15.743 - INFO: Train epoch 536: [20800/21000 (99%)] Loss: 2.5408 | MSE loss: 0.0003 | Bpp loss: 1.03 | Aux loss: 32.08
22-06-11 10:24:55.101 - INFO: Test epoch 536: Average losses: Loss: 2.2832 | MSE loss: 0.0002 | Bpp loss: 0.98 | Aux loss: 34.69 | PSNR: 37.322503 | MS-SSIM: 0.993257
22-06-11 10:24:58.617 - INFO: Learning rate: 1e-05
22-06-11 10:25:01.406 - INFO: Train epoch 537: [    0/21000 (0%)] Loss: 3.2075 | MSE loss: 0.0003 | Bpp loss: 1.23 | Aux loss: 34.57
22-06-11 10:26:25.640 - INFO: Train epoch 537: [  800/21000 (4%)] Loss: 2.1404 | MSE loss: 0.0002 | Bpp loss: 0.98 | Aux loss: 32.72
22-06-11 10:27:50.314 - INFO: Train epoch 537: [ 1600/21000 (8%)] Loss: 2.0759 | MSE loss: 0.0002 | Bpp loss: 0.83 | Aux loss: 31.46
22-06-11 10:29:14.809 - INFO: Train epoch 537: [ 2400/21000 (11%)] Loss: 2.1262 | MSE loss: 0.0002 | Bpp loss: 0.85 | Aux loss: 29.59
22-06-11 10:30:39.170 - INFO: Train epoch 537: [ 3200/21000 (15%)] Loss: 3.1993 | MSE loss: 0.0003 | Bpp loss: 1.16 | Aux loss: 32.04
22-06-11 10:32:03.446 - INFO: Train epoch 537: [ 4000/21000 (19%)] Loss: 1.1405 | MSE loss: 0.0001 | Bpp loss: 0.61 | Aux loss: 33.88
22-06-11 10:33:27.449 - INFO: Train epoch 537: [ 4800/21000 (23%)] Loss: 2.1770 | MSE loss: 0.0002 | Bpp loss: 0.97 | Aux loss: 33.29
22-06-11 10:34:52.084 - INFO: Train epoch 537: [ 5600/21000 (27%)] Loss: 2.0141 | MSE loss: 0.0002 | Bpp loss: 0.84 | Aux loss: 33.45
22-06-11 10:36:16.297 - INFO: Train epoch 537: [ 6400/21000 (30%)] Loss: 1.3050 | MSE loss: 0.0001 | Bpp loss: 0.66 | Aux loss: 32.74
22-06-11 10:37:40.874 - INFO: Train epoch 537: [ 7200/21000 (34%)] Loss: 2.5349 | MSE loss: 0.0003 | Bpp loss: 1.06 | Aux loss: 32.71
22-06-11 10:39:05.842 - INFO: Train epoch 537: [ 8000/21000 (38%)] Loss: 1.9614 | MSE loss: 0.0002 | Bpp loss: 0.88 | Aux loss: 31.61
22-06-11 10:40:30.035 - INFO: Train epoch 537: [ 8800/21000 (42%)] Loss: 1.5745 | MSE loss: 0.0001 | Bpp loss: 0.70 | Aux loss: 31.47
22-06-11 10:41:54.021 - INFO: Train epoch 537: [ 9600/21000 (46%)] Loss: 2.2033 | MSE loss: 0.0002 | Bpp loss: 0.89 | Aux loss: 35.89
22-06-11 10:43:18.578 - INFO: Train epoch 537: [10400/21000 (50%)] Loss: 1.2757 | MSE loss: 0.0001 | Bpp loss: 0.55 | Aux loss: 32.16
22-06-11 10:44:42.404 - INFO: Train epoch 537: [11200/21000 (53%)] Loss: 2.5224 | MSE loss: 0.0003 | Bpp loss: 1.02 | Aux loss: 33.81
